count_session,count_hit,channelGrouping,totals_newVisits,device_browser,device_operatingSystem,device_isMobile,device_deviceCategory,geoNetwork_region,geoNetwork_latitude,geoNetwork_longitude,historic_session,historic_session_page,avg_session_time,avg_session_time_page,single_page_rate,sessionQualityDim,earliest_visit_number,latest_visit_number,time_earliest_visit,time_latest_visit,avg_visit_time,days_since_first_visit,visits_per_day,bounce_rate,earliest_source,latest_source,earliest_medium,latest_medium,earliest_keyword,latest_keyword,earliest_isTrueDirect,latest_isTrueDirect,num_interactions,bounces,time_on_site,transactionRevenue,products_array,has_converted,product_list,"food_cupboard--tins,_jars_&_packets--powdered_milk","baby_products--milk,_food_&_juices--baby_&_toddler_formula--baby_formula_(1-6_years)","baby_products--milk,_food_&_juices--juices_&_beverages",nonfood,"baby_products--milk,_food_&amp;_juices--baby_&amp;_toddler_formula--baby_formula_(6-12_months)",Changing_&_Bathing,"baby_products--changing_&amp;_bathing--diapers,_wipes_&amp;_diaper_cream--baby_wipes_family_pack","baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--baby_wipes_single_piece",Baby_Products,fresh_food--dairy_&_eggs--yoghurt--probiotic_yoghurt,Baby_Pants,Baby Products--Changing &amp; Bathing--Pull-ups &amp; Swimming Pants--Baby Pants,Baby_and_Personal_Care,baby_products--changing_&_bathing--pull-ups_&_swimming_pants--baby_pants,"Baby_Products--Changing_&amp;amp;_Bathing--Diapers,_Wipes_&amp;amp;_Diaper_Cream--Baby_Diapers","baby_products--milk,_food_&amp;_juices--baby_&amp;_toddler_formula--baby_formula_(1-6_years)","baby_products--milk,_food_&amp;_juices--baby_&amp;_toddler_formula--baby_formula_(0-6_months)","Baby_Products--Changing_&_Bathing--Diapers,_Wipes_&_Diaper_Cream--Baby_Diapers","baby_products--milk,_food_&_juices--baby_&_toddler_formula--baby_formula_(6-12_years)",سراويل_الأطفال,fresh_food--dairy_&_eggs--cheese_&_labneh--labneh,حفاضات_اطفال,"baby_products--milk,_food_&_juices--baby_&_toddler_formula--baby_formula_(6-12_months)",Baby_Diapers,baby_products--changing_&amp;_bathing--pull-ups_&amp;_swimming_pants--baby_pants,non_food,"baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--natural_baby_diapers",food,Bulk_Savings,"food_cupboard--tins,_jars_&amp;_packets--powdered_milk","Diapers,_Wipes_&_Diaper_Cream","baby_products--milk,_food_&_juices--baby_&_toddler_formula--baby_formula_(0-6_months)",baby_products--changing_&_bathing--pull-ups_&_swimming_pants--baby_swimming,(not set),"Baby Products--Changing &amp; Bathing--Diapers, Wipes &amp; Diaper Cream--Baby Diapers",Pull-ups_&_Swimming_Pants,"baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--baby_diapers","baby_products--changing_&amp;_bathing--diapers,_wipes_&amp;_diaper_cream--baby_diapers","baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--baby_wipes_family_pack","baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--natural_baby_wipes"
9,1194,0,0,5,1,True,1,71,25.3463,55.4209,6504,1254,722.6666666666665,139.33333333333334,0.7777777777777777,6,24,32,12.08,19.17,18,17,66.33333333333333,0.0,25,5,3,0,3,2,True,True,1900,0,5617,0,2265,0,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,1816,2,0,5,1,True,1,2,25.4052,55.5136,12466,4963,445.21428571428567,177.25,0.8214285714285714,4,8,62,18.98,11.2,11,24,73.48,0.0,0,4,0,1,3,1,True,True,3843,0,77417,1477195214,898,1,895,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,299,2,0,5,1,True,1,1,24.4539,54.3773,1575,0,787.5,0.0,1.0,42,46,47,17.42,14.9,17,7,37.375,0.0,24,4,7,1,89,96,True,True,592,0,1576,0,2234,0,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,507,2,0,5,6,True,1,1,24.4539,54.3773,1000,0,333.33333333333326,0.0,1.0,2,5,14,15.03,7.0,15,1,253.5,0.0,24,4,7,1,88,95,True,True,507,0,1958,28745286,414,1,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,1037,2,0,5,1,True,1,25,25.2048,55.2708,3659,0,406.55555555555554,0.0,1.0,5,42,50,13.57,7.52,10,24,41.48,0.0,30,0,9,1,3,2,True,True,1674,0,138440,1054124685,2506,1,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
5,338,2,0,7,4,False,0,25,25.2048,55.2708,3072,1035,614.4,207.0,0.4,8,2,37,16.53,9.6,10,29,12.933333333333334,0.0,24,4,7,1,89,91,True,False,4213,0,463,63207046,1449,1,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,14441,2,0,5,6,True,1,1,24.4539,54.3773,29054,2724,377.3246753246753,35.37662337662338,0.987012987012987,2,1,64,13.4,11.82,14,29,481.3666666666666,0.0,0,4,0,1,3,95,True,True,34617,0,12135,22202848,2357,1,2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
9,1715,2,0,5,6,True,1,25,25.2048,55.2708,2388,0,265.33333333333326,0.0,1.0,2,52,60,8.03,14.48,15,26,63.51851851851852,0.0,24,4,7,1,90,97,True,True,2754,0,1210,0,1,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,3962,2,0,5,6,True,1,25,25.2048,55.2708,9100,0,350.0,0.0,1.0,2,198,241,13.72,13.07,11,29,132.06666666666666,0.0,24,4,7,1,1,1,True,True,12013,0,0,176463141,1777,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,741,2,0,5,6,True,1,2,25.4052,55.5136,4109,0,273.93333333333334,0.0,1.0,14,16,30,14.35,20.18,18,25,28.5,0.0,24,4,7,1,89,96,False,True,1817,0,107,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
